A0.	Creator.
D2143.6.2.	Wall of snow around hut in answer to prayer.
D2143.6.3.	Snow produced by magic.
D2143.6.4.	Snow magically caused to melt (burn).
D2143.6.5.	Snow magically caused to last.
D2144.	Magic control of cold and heat.
D2144.1.	Cold produced by magic.
D2144.1.1.	Porcupine as controller of cold.
D2144.1.2.	Man with power to make everything freeze.
D2144.2.	Contest of heat and cold.
D2144.3.	Heat produced by magic.
D2144.3.1.	Cold water in winter made warm by a saint.
D2144.4.	Burning by magic.
D2144.4.1.	Person burned through magic wishing (curse).
D2144.5.	Ice controlled by magic.
D2144.5.1.	Ice produced by magic.
D2144.5.2.	Ice melted by magic.
D2145.	Magic control of seasons.
D2145.1.	Winter magically produced.
D2145.1.1.	Local winter.
D2145.2.	Summer produced by magic.
D2145.2.1.	Summer magically lengthened.
D2145.2.2.	Fruit magically grows in winter.
D2145.2.2.1.	Vineyard in full fruit and blooming palm found in winter on the night of Christ's Nativity.
D2145.2.2.2.	Tree blooms out of season.
D2146.	Magic control of day and night.
D2146.1.	Day controlled by magic.
D2146.1.1.	Day magically lengthened.
D2146.1.1.1.	Druid causes sun to stand still for two days.
D2146.1.1.2.	Supernatural person (adulterer) causes sun to stand still for nine months.
D2146.1.2.	Day magically shortened.
D2146.1.3.	Day produced by magic.
D2146.2.	Night controlled by magic.
D2146.2.1.	Night produced by magic.
D2146.2.2.	Night magically lengthened.
D2146.2.3.	Night magically shortened.
D2146.2.4.	Earth darkened because of Sun's defeat in race against Coyote.
D2146.2.5.	Saint banishes night for a year.
D2147.	Magic control of clouds.
D2147.1.	Cloud magically made to cover sun.
D2147.2.	Cloud magically appears.
D2147.3.	A cloud evoked by a saint.
D2148.	Earth magically caused to quake.
D2148.1.	Angel causes earth to quake, releasing prisoners for saint.
D2148.2.	Saint is able to produce earthquakes at will.
D2148.3.	Stopping the eruption of a volcano by a saint.
D2149.	Magic control of the elements--miscellaneous.
D2149.1.	Thunderbolt magically produced.
D2149.1.1.	Witch produces lightning.
D2149.2.	Saint magically causes mountain to melt away.
D2149.3.	Saint causes sun to come down and cook for him.
D2149.4.	Magic control of gravitation.
D2149.4.1.	Saint prevents rocks from falling.
D2149.4.2.	Ring that has dropped into water rises to surface.
D2149.5.	Rice paddies flooded or dried by toad's tears or laughter.
D2149.6.	Magic control of heavenly bodies.
D2149.7.	Magic control of rainbow.
D2150.	Miscellaneous magic manifestations.
D2151.	Magic control of waters.
D2151.0.1.	Saint regulates temperature of waters.
D2151.0.2.	Waters made to dry up.
D2151.0.3.	Wall of water magically warded off.
D2151.1.	Magic control of seas.
D2151.1.1.	Sea produced by magic.
D2151.1.2.	Tide held back.
D2151.1.2.1.	Tide held back by Virgin Mary.
D2151.1.2.2.	Tide held back by saint.
D2151.1.2.3.	Grave on shore rises with the tide.
D2151.1.3.	Sea calmed by prayer.
D2151.1.4.	Sea appears like flowery plain.
D2151.2.	Magic control of rivers.
D2151.2.1.	Direction of river's flow magically reversed.
D2151.2.1.1.	River with flow magically divided.
D2151.2.2.	Saint causes river to rise and overflow.
D2151.2.3.	Rivers magically made dry.
D2151.2.3.1.	Evil spirit holds back water.
D2151.2.4.	Saint causes a river to freeze over in summer.
D2151.2.5.	Stream magically appears.
D2151.2.5.1.	River appears at prayer of desert travelers.
D2151.2.6.	River magically widened.
D2151.3.	Magic control of waves.
D2151.3.1.	Magic tidal wave.
D2151.3.2.	Dashing waves do not touch saint.
D2151.4.	Magic calming of whirlpool.
D2151.5.	Magic control of pond (tank).
D2151.5.1.	Water raised from tank by singing.
D2151.5.1.1.	Water raised from tank by burying ring in it.
D2151.5.2.	Pond magically dried up.
D2151.6.	Magic control of wells (springs).
D2151.6.1.	Saint causes wells to fail.
D2151.6.2.	Man makes all waters of spring flow into a small brass pot.
D2151.7.	Magic control of lakes.
D2151.7.1.	Saint causes lake to dry up.
D2151.8.	Magic flood.
D2152.	Magic control of mountains.
D2152.1.	Magic leveling of mountain.
D2152.2.	Magician able to cast mountains upon enemies.
D2152.3.	Mountain magically blown away.
D2152.4.	Magic heightening of mountain.
D2152.5.	Mountain moved by saint.
D2153.	Magic control of rocks.
D2153.1.	Rock in sea created by magic.
D2153.1.1.	Island created by magic.
D2156.	Magic control over animals.
D2156.1.	Magic power to make does give milk.
D2156.2.	Miraculous increasing of milk from one cow.
D2156.2.1.	Cow supplies sufficient milk for the saint and all his disciples.
D2156.3.	Saint forces a beast (leopard, wolf) to bring back stolen child (domestic animal) to his mother (owner).
D2156.4.	Wild boar reprimanded about its maraudings by saint.
D2156.5.	Vicious snakes easily controlled by saint.
D2156.5.1.	Saint orders a serpent which had bitten a man to withdraw its venom.
D2156.5.2.	Snakes expelled from human body by saint's intervention.
D2156.6.	Saint destroys disastrous insects.
D2156.7.	Saint orders the cicadas to sing the praises of God or be silent, because they disturb his preaching.
D2156.8.	Wolf is forced by saint to be substitute for eaten calf.
D2156.9.	Saint causes cuckoo to call in winter.
D2156.10.	Horses (oxen) from sea put temporarily into man's service.
D2156.11.	Saint kills lion with his slipper.
D2157.	Magic control of soil and crops.
D2157.1.	Land made magically fertile.
D2157.1.1.	Saint scratches surface of earth with his spear and treasures of gold and silver are revealed.
D2157.2.	Magic quick growth of crops.
D2157.2.0.1.	Rice grows in single day.
D2157.2.1.	Magic quick growth of saint's crops.
D2157.2.2.	Saint causes wheat to ripen prematurely in the time of a famine.
D2157.3.	Withered and dead trees suddenly blossom at saint's command.
D2157.3.1.	Apple trees bear as result of saint's blessing.
D2157.3.2.	Tree regains life and verdure after treasure it hides in its roots is given away.
D2157.4.	Miraculous speedy growth of a tree.
D2157.5.	Poor soil transformed into lovely garden overnight.
D2157.6.	Field cultivated and sowed by magic.
D2158.	Magic control of fires.
D2158.1.	Magic kindling of fire.
D2158.1.1.	Fox produces fire by striking tail to ground.
D2158.1.2.	Saint sets fire to stone.
D2158.1.3.	Fire obeys the saints.
D2158.1.3.1.	Control of conflagrations by a saint personally or by his relics.
D2158.1.3.2.	Fire turns aside and refuses to catch hold of holy garments, wooden altars and similar sacred things.
D2158.1.4.	Magician opens his eyes and forest burns for twenty-four miles in front of him.
D2158.1.5.	Saint creates fire unnaturally when needed.
D2158.1.5.1.	Saint kindles her lamp or candle without using fire.
D2158.1.5.2.	Cooking and baking done without fire.
D2158.2.	Magic extinguishing of fires.
D2161.	Magic healing power.
D2161.1.	Magic cure for specific diseases.
D2161.1.1.	Magic cure of leprosy.
D2161.1.2.	Magic cure for fever.
D2161.1.3.	Woman's labor pains magically eased.
D2161.2.	Magic cure of wound.
D2161.2.1.	Steaks cut from live cow who heals herself by magic.
D2161.2.2.	Flow of blood magically stopped.
D2161.2.3.	Magic cure of burns.
D2161.3.	Magic cure of physical defect.
D2161.3.1.	Blindness magically cured.
D2161.3.1.1.	Eyes torn out magically replaced.
D2161.3.2.	Magic restoration of severed hand.
D2161.3.3.	Magic cure of broken limbs.
D2161.3.3.1.	Witch burns her child's legs for wood, then covers child with sheet and child is whole.
D2161.3.4.	Baldness magically cured.
D2161.3.4.1.	Feathered skin magically grafted to bald head.
D2161.3.5.	Deafness magically cured.
D2161.3.6.	Dumbness magically cured.
D2161.3.6.1.	Magic restoration of cut-out tongue.
D2161.3.7.	Lameness magically cured.
D2161.3.7.1.	Lame animal magically cured.
D2161.3.8.	Insanity magically cured.
D2161.3.8.1.	Remedy for epilepsy.
D2161.3.9.	Bad breath magically cured.
D2161.3.10.	Sterility magically cured.
D2161.3.11.	Barrenness magically cured.
D2161.4.	Methods of magic cure.
D2161.4.0.1.	Cure after following instructions received from saint in dream.
D2161.4.1.	Cure by transferring disease to animal.
D2161.4.2.	Disease transferred to object.
D2161.4.2.1.	Ghost transfers boil to a post.
D2161.4.2.2.	Saint transfers disease to his bell (bachall).
D2161.4.2.3.	Saint transfers thorn in foot to rock.
D2161.4.2.4.	Disease transferred to tree.
D2161.4.3.	Cure by passing through earth at crossroads.
D2161.4.4.	Person cured by repairing image that has same deformity.
D2161.4.5.	Cure by passing patient through cleft of tree (other loop).
D2161.4.6.	Animal buried alive to cure disease.
D2161.4.7.	Animal burned to cure disease.
D2161.4.8.	Cure by burning grain where man has died.
D2161.4.9.	Baptism as magic cure.
D2161.4.9.1.	Other religious ceremony as magic cure.
D2161.4.10.	Disease cured by same thing (person) that caused it.
D2161.4.10.0.1.	Only one person possesses power to heal certain wound.
D2161.4.10.1.	Wound healed by same spear that caused it.
D2161.4.10.2.	Wound healed only by person who gave it.
D2161.4.10.2.1.	Fairy wounded by mortal is healed only by obtaining mortal's blessing.
D2161.4.10.2.2.	Snake sucks poison from snake bite.
D2161.4.10.3.	Healing with hair of dog that bit one.
D2161.4.10.4.	Sorrowing father magically restored as lost son approaches.
D2161.4.10.5.	Blindness cured by killing snake that caused it.
D2161.4.11.	Cure by putting children on roof (in oven).
D2161.4.12.	Magic cure during sleep.
D2161.4.13.	Eating of human hearts as cure for insomnia.
D2161.4.14.	Magic cure by bathing.
D2161.4.14.1.	Magic cure by bathing in milk.
D2161.4.14.1.1.	Wounds from poisoned arrows healed by bath of milk.
D2161.4.14.2.	Magic cure by bathing in consecrated water (lake, etc.).
D2161.4.14.3.	Cure by washing in dew.
D2161.4.15.	Magic cure by lying on saint's shadow.
D2161.4.16.	Magic cure by touching.
D2161.4.16.1.	Magic healing by passing hand over affected parts.
D2161.4.17.	Magic cure by licking.
D2161.4.18.	Cure by putting lock of patient's hair in hole of post or tree, then plugging hole with wood.
D2161.4.19.	Methods of magic cure--miscellaneous.
D2161.4.19.1.	Barber begins to recover after he reveals raja's secret.
D2161.5.	Magic cure by certain person.
D2161.5.1.	Cure by holy man.
D2161.5.2.	Cure by Virgin Mary.
D2161.5.2.1.	Cure at shrine of Virgin Mary.
D2161.5.2.2.	Cure by relic of Virgin Mary.
D2161.5.2.3.	Cure by milk of Virgin Mary.
D2161.5.2.4.	Severed limbs replaced by Virgin Mary.
D2161.5.2.5.	Cure of spider bite by the Virgin Mary.
D2161.5.2.6.	Terrible headaches cured by Virgin Mary.
D2161.5.3.	Cure by deity.
D2161.5.4.	Cure by Moses.
D2161.5.5.	Cure by angel.
D2161.5.6.	Cure by surviving twin.
D2161.5.7.	Cure by seventh son of seventh daughter.
D2161.6.	Diseases cured at particular time.
D2161.6.1.	All diseases healed at birth of Christ.
D2161.6.2.	Diseases cured in Messeanic era.
D2161.6.3.	Diseases cured at holy man's birth.
D2162.	Magic control of disease.
D2162.1.	Saint ends epidemic by fasting.
D2162.2.	Epidemic stops at river (sea) at saint's command.
D2162.3.	Locality sanctified against pestilence (by angel) as result of prayer and fasting.
D2162.4.	People living on mountain dedicated to angel free from plague.
D2163.	Magic defense in battle.
D2163.1.	Broken weapons magically restored.
D2163.2.	Magic reinforcements.
D2163.2.1.	Heavenly help in battle.
D2163.3.	Virgin Mary intercepts an arrow in battle.
D2163.4.	Magic mist as defense in battle.
D2163.5.	Saint's prayer wins battle.
D2163.5.1.	Saint's prayer brings large flight of birds carrying stones in talons.
D2163.5.2.	Saint changes vicious king's heart to peaceful thoughts.
D2163.5.2.1.	Letter read by holy man stops emperor from devastating country.
D2163.6.	Obstructions magically produced before enemy.
D2163.6.1.	Saint causes great forest to spring up between opposing forces.
D2163.6.2.	Saint causes wall of cakes to spring up between opposing armies.
D2163.7.	Enemy's army deceived by illusion produced by saint.
D2163.8.	Saint's blessing brings victory.
D2163.9.	Saint protects followers against bullets by stretching sheet over their heads.
D2165.	Escapes by magic.
D2165.1.	Escape by flying through the air.
D2165.2.	Escape from drowning by drying up all waters.
D2165.3.	Magic used to prevent pursuit.
D2165.4.	Opening in house made by magic so as to escape.
D2166.	Magic help from falling.
D2167.	Corpse magically saved from corruption.
D2167.1.	Food magically saved from corruption.
D2167.2.	Book magically saved from decay.
D2167.3.	Flowers magically kept from withering.
D2168.	Magic used against poison.
D2168.1.	Poison magically separated from drink.
D2171.	Magic adhesion.
D2171.1.	Object magically attaches itself to a person.
D2171.1.1.	Seat (chair) caused to stick to person.
D2171.1.2.	Tankard caused to stick to person's lips.
D2171.1.3.	Person magically sticks to floor (ground).
D2171.2.	Magic adhesion to monster (witch, ogre, etc.).
D2171.3.	Magic adhesion to animal.
D2171.3.1.	Magic adhesion to goose.
D2171.3.2.	Magic adhesion to swan.
D2171.3.3.	Magic adhesion to turtle.
D2171.3.4.	Magic adhesion to hose.
D2171.4.	Objects magically stick together.
D2171.4.1.	Pitcher magically sticks to ground.
D2171.4.2.	Cauldron magically sticks to wall.
D2171.4.3.	Witch causes towel to adhere to wall.
D2171.5.	Persons magically stick together.
D2171.6.	Clothes cling supernaturally to body.
D2171.7.	Man's feet fixed to pavement so that he cannot move until he makes vow.
D2171.8.	Witch causes milk to stay in overturned pail.
D2172.	Continuing magic acts.
D2172.1.	Magic repetition.
D2172.2.	Magic gift: power to continue all day what one starts.
D2173.	Magic singing.
D2174.	Magic dancing.
D2175.	Cursing by magic.
D2175.1.	Cursing by means of a well.
D2175.2.	Saint's bachall used in cursing.
D2175.3.	Magic satire (magic song) as curse.
D2175.4.	Saint's bell used in cursing.
D2175.5.	Curse magically changed to blessing.
D2176.	Exorcising by magic.
D2176.0.1.	Saint sanctifies locality against death.
D2176.1.	Snakes banned by magic.
D2176.2.	Lice banned by magic.
D2176.3.	Evil spirit exorcised.
D2176.3.1.	Evil spirit exorcised by burning fish.
D2176.3.1.1.	Evil spirit exorcised by burning medicine.
D2176.3.2.	Evil spirit exorcised by religious ceremony.
D2176.3.3.	Evil spirit exorcised by saint.
D2176.3.3.0.1.	Evil spirits exorcised by death of saint.
D2176.3.3.1.	Demons in stone images driven out by holy man (saint).
D2176.3.3.2.	Saint purifies spring by driving out demon.
D2176.3.3.3.	Saint throws ink bottle at devil who annoys him.
D2176.3.3.4.	Saint's breath drives away the devil.
D2176.3.4.	Devil cast out of man possessed.
D2176.4.	Magic book conjured away by throwing it on stream.
D2176.5.	Burning cut hair to prevent witchcraft.
D2176.6.	Exorcising invisible man by flailing air with peach branch.
D2177.	Imprisoning by magic.
D2177.1.	Demon enclosed in bottle.
D2177.1.1.	Demons imprisoned by magic.
D2177.2.	Demon imprisoned in pomegranate.
D2177.3.	Evil spirits imprisoned in stone.
D2177.4.	Evil spirits kept out by stone wall.
D2178.	Objects produced by magic.
